Review Title,DateandGroup,Description,Contributions,Compound,Positive,Neutral,Negative,Sentiment,Date,Group
"Great Pizza, nice environment",Dec 2019 • Couples,"We had vegetable pizza and added pepperoni. It was very good. The environment was open air type, would’ve been great on nice day. There was a chilly wind from cold front the day we went, had to wear my hoodie while we ate. The service was good.",85 contributions,0.9229,0.24,0.76,0.0,Positive,Dec 2019,Couples
Great pizza and good italics an,Dec 2019 • Friends,The pizza is very good and is a 'must' for us on our annual trip to Marco. We also had Italian food - I had the chicken Alfredo and found it good (not great) but pizza was great as are the garlic knots.,335 contributions,0.8703,0.21,0.79,0.0,Positive,Dec 2019,Friends
Delivery,Dec 2019 • None,"Better than I expected! Delivered hot. Only got the veggie pizza but it was good, tasted fresh. Recommend",12 contributions,0.906,0.486,0.514,0.0,Positive,Dec 2019,None
Best Pizza on Marco Island!,Dec 2019 • Family,My family and I enjoyed a couple of fantastic pizza pies at Joey’s! The service was great! Everyone had a great time!,8 contributions,0.9515,0.516,0.484,0.0,Positive,Dec 2019,Family
"Great place, we ordered the",Dec 2019 • None,"Great place, we ordered the meat pizza and it was huge and covered in different meats. There was a large menu which had a lot to offer. There was a good atmosphere. Indoor and outdoor seating. Overall the restaurant was clean, had good service and a overall nice vibe.",,0.9493,0.312,0.688,0.0,Positive,Dec 2019,None
yummy and fun,Nov 2019 • None,"we were visiting family here, and they referred all of us to joey's pizza for dinner in november...we sat outside as it was warm...i had a corona, and others had stella and something else....next we shared a veggie salad, and large veggie pizza...the staff is great, the drinks, and food are too....it was festive and fun...thx so much",,0.8591,0.152,0.848,0.0,Positive,Nov 2019,None
Worth the stop Big menu Pizza,Nov 2019 • Friends,Worth the stop Big menu Pizza and salad were excellent Madison our server was outstanding Table of 7 — did not miss a beat,619 contributions,0.8336,0.378,0.547,0.075,Positive,Nov 2019,Friends
"Great food, great environment",Nov 2019 • Family,Went here for dinner with my wife and 3 year old. Pizza and Caesar salad was great. Nice bar area and kid friendly. They have outdoor seating as well.,,0.9042,0.337,0.663,0.0,Positive,Nov 2019,Family
Yum,Nov 2019 • Family,The best pizza and knots!! We look forward to eating this everything we head to marco island!! Yummmmmmmmmmmmmmmmmmmmmmmmm,,0.7482,0.24,0.76,0.0,Positive,Nov 2019,Family
"Good food, good portions",Nov 2019 • Family,"Better than the far more expensive DaVinci's. Pizzas are creative and delicious. Apps and salads were good. Excellent value for Marco Island. Good service, too.",119 contributions,0.9657,0.543,0.457,0.0,Positive,Nov 2019,Family
T00 much garlic,Nov 2019 • None,"Very noisy when we arrived but seated easily. Garlic knots were undercooked / or cooked too quickly as the middles were not cooked properly. Too much garlic salt and Parmesan on them. I don’t think there was any fresh garlic in or on them, perhaps Joey can verify. Our party ordered 3 Veal Caruso’s. I had looked at the veal dinners on line before going and the one picture showing veal has a small portion of linguine on the plate. I wrongly assumed that the meal came with the pasta. There is only one veal meal that comes with pasta and that is penne. When it did arrive the spinach which ‘in my opinion’ had WAY TOO MUCH GARLIC on it was half over the veal thereby making the breadcrumbed topping, soggy. Because of the over use of garlic, the flavour of the spinach was not allowed to be tasted. Again, in my opinion, the spinach had not been drained enough, it may have been the sauce, but was either a very thin sauce, or too much water left in the spinach. Overall, not impressed, which why I rated it a 3. Won’t be rushing back, sorry.",5 contributions,0.7898,0.061,0.907,0.031,Positive,Nov 2019,None
Pizza is just average,Nov 2019 • None,"Ate a pie from Joey's on our last night in Marco. Got to say it was not nearly as good as Davide's pizza earlier in the week. Placed the order online for delivery. Simple to do and was convenient. When the pizza arrived, it had Green Peppers and not Mushrooms as we had ordered. I double checked my online order to make sure the mistake was not mine. It wasn't. The large pie, with 4 toppings, delivery and tip set us back $32, which for Marco is not too bad. The sauce on the pizza was a bit acidic and not to our liking. The crust was weird in that it was more like a cracker crust, not a raised dough crust. A bit chewy and dry on the edges. I like the pizza edges, but this one didn't work for me. Cheese was good as was the pepperoni and black olives. All in all it would not be my go to pizza in Marco.",128 contributions,-0.2785,0.045,0.898,0.058,Negative,Nov 2019,None
Very good pizza,Nov 2019 • None,"We popped in on a Friday night at 1800, managed to get a table without reservation but it was very busy. It's quite a big restaurant, nothing too fancy with a reasonably sized bar you can sit at. The menu has a good selection of pizza and pastas to suit all tastes. Pizza can be ordered as a thin, very thin or deep pan with a selection of speciality ingredients or you can make your own with various toppings. A large pizza easily feeds two people and if you are having starters and side dishes then small pizza may also feed two people. Pizza tasted great and if you like to dip your crust then ask for ranch dip when ordering. They do great desserts too so leave enough room for them! Overall, we were happy and would recommend.",304 contributions,0.9851,0.194,0.793,0.012,Positive,Nov 2019,None
Great food and drinks!,Dec 2018 • None,This place is worth the visit. The food is great and the atmosphere is fun and service is great. Located in a great spot where you can walk from most places on Marco!!,9 contributions,0.9589,0.401,0.599,0.0,Positive,Dec 2018,None
Delicious Pizza Dinner,Nov 2019 • Couples,"Excellent service, friendly atmosphere, our waiter was great! We enjoyed salads and pizzas. They offer 3 different types of pizza crust. We had thin & crispy Joey’s original and the other couple ordered NY style crust. All very delicious and we would definitely go back again.",162 contributions,0.9738,0.389,0.611,0.0,Positive,Nov 2019,Couples
Good Stromboli; Bad Lasagna,Nov 2019 • None,"One of us had the stromboli which was good. The other ordered lasagna and couldn't eat it as it was so full of a strong, stinky cheese that overwhelmed every other flavor that may have been in the lasagna - no taste of meat, ricotta or mozarella. The ""garlic knot"" that came with the meal also was coated in the same stinky cheese that overwhelmed any garlic that may have been in it. The strong smell arrived at the table as the plates approached and nearly knocked us over before the food was set down. To his credit, when the waiter noticed I hadn't eaten my meal, he took it off the bill, even tho I didn't request a refund, and said he would tell the chef about the overwhelming stench. If you like very strong pungent cheese and no other flavors, get the lasagna.",349 contributions,0.8121,0.131,0.79,0.079,Positive,Nov 2019,None
Be careful of the pricing and check your bill,Nov 2019 • Family,"Visited Joeys last week with family and friends, the food and service was Ok. When the bill came we had been over charged for a simple pasta dish (penne pasta with Broccoli) but instead of correcting the issue an angry little man who was an apparent manager came to the table and decided to double down on the charge and state how “If I have to pay for it, so do you”. He wouldn’t listen and decided to just speak over us while asking him to explain how a simple dish containing no meat and just a simple vegetable could cost more than other dishes that some of our party had chosen. We been visiting Marco for years and would pay a visit to Joeys however, following this latest trip I won’t be visiting again.",,-0.5647,0.051,0.864,0.085,Negative,Nov 2019,Family
